Timestamp,Second,Sample#,CFPS,Polygons,Ping
2014.06.03-13.46.36,63537399996023.8,146,-,-,-
2014.06.03-13.46.37,63537399997013.9,147,-,-,-
2014.06.03-13.46.38,63537399998003.9,148,-,-,-
2014.06.03-13.46.39,63537399999024,149,-,-,-
2014.06.03-13.46.40,63537400000014,150,-,-,-
2014.06.03-13.46.41,63537400001004.1,151,-,-,-
2014.06.03-13.46.42,63537400002024.1,152,-,-,-
2014.06.03-13.46.43,63537400003014.2,153,-,-,-
2014.06.03-13.46.44,63537400004004.3,154,-,-,-
2014.06.03-13.46.45,63537400005024.3,155,-,-,-
2014.06.03-13.46.46,63537400006014.4,156,-,-,-
2014.06.03-13.46.47,63537400007004.4,157,-,-,-
2014.06.03-13.46.48,63537400008025.5,158,-,-,-
2014.06.03-13.46.49,63537400009015.5,159,-,-,-
2014.06.03-13.46.50,63537400010005.6,160,-,-,-
2014.06.03-13.46.51,63537400011025.7,161,-,-,-
2014.06.03-13.46.52,63537400012015.7,162,-,-,-
2014.06.03-13.46.53,63537400013005.8,163,-,-,-
2014.06.03-13.46.54,63537400014025.8,164,-,-,-
2014.06.03-13.46.55,63537400015015.9,165,-,-,-
2014.06.03-13.46.56,63537400016005.9,166,-,-,-
2014.06.03-13.46.57,63537400017026,167,-,-,-
2014.06.03-13.46.58,63537400018016.1,168,-,-,-
2014.06.03-13.46.59,63537400019006.1,169,-,-,-
2014.06.03-13.47.00,63537400020026.2,170,-,-,-
2014.06.03-13.47.01,63537400021016.2,171,-,-,-
2014.06.03-13.47.02,63537400022006.3,172,-,-,-
2014.06.03-13.47.03,63537400023026.3,173,-,-,-
2014.06.03-13.47.04,63537400024018.4,174,-,-,-
2014.06.03-13.47.05,63537400025008.5,175,-,-,-
2014.06.03-13.47.06,63537400026028.5,176,-,-,-
2014.06.03-13.47.07,63537400027018.6,177,-,-,-
2014.06.03-13.47.08,63537400028009.6,178,-,-,-
2014.06.03-13.47.09,63537400029029.7,179,-,-,-
2014.06.03-13.47.10,63537400030019.7,180,-,-,-
2014.06.03-13.47.11,63537400031009.8,181,-,-,-
2014.06.03-13.47.12,63537400032029.9,182,-,-,-
2014.06.03-13.47.13,63537400033019.9,183,-,-,-
2014.06.03-13.47.14,63537400034010,184,-,-,-
2014.06.03-13.47.15,63537400035000,185,-,-,-
2014.06.03-13.47.16,63537400036020.1,186,-,-,-
2014.06.03-13.47.17,63537400037010.1,187,-,-,-
2014.06.03-13.47.18,63537400038000.2,188,-,-,-
2014.06.03-13.47.19,63537400039020.3,189,-,-,-
2014.06.03-13.47.20,63537400040010.3,190,-,-,-
2014.06.03-13.47.21,63537400041000.4,191,-,-,-
2014.06.03-13.47.22,63537400042020.4,192,-,-,-
2014.06.03-13.47.23,63537400043010.5,193,-,-,-
2014.06.03-13.47.24,63537400044000.5,194,-,-,-
2014.06.03-13.47.25,63537400045020.6,195,-,-,-
